"idencuesta","c01","c02","c03","c04","c05_01","c05_02","c05_03","c05_04","c05_05","c05_06","c05_07","c05_08","c06_01","c06_02","c06_03","c06_04","c06_05","c06_06","c11","c13","c14_01","c14_02","d05_02","d05_04","m0_sexo","m0_edad","m01","m35"
4101057,2,2,3,1,2,1,3,2,1,2,1,3,1,1,1,2,4,2,1,1,1,3,5,5,2,66,5,1
4101062,2,2,2,1,4,1,4,4,3,3,2,4,2,2,3,4,5,2,2,4,5,5,5,5,1,64,8,3
4101065,1,2,2,1,1,1,3,1,1,1,1,1,1,1,1,4,4,3,1,1,2,3,5,5,2,42,5,2
4101071,2,2,2,1,2,1,3,1,1,3,1,2,1,1,1,4,4,3,1,1,3,5,5,5,1,48,9,3
4101083,3,2,2,2,1,2,4,1,2,3,1,2,2,2,2,2,3,3,1,1,2,4,5,5,1,41,7,1
4101111,4,2,2,1,2,2,2,1,2,1,1,,1,1,1,1,1,2,2,2,1,1,5,5,1,55,2,3
4101113,1,2,2,1,1,1,1,1,1,3,2,3,1,1,1,1,1,1,2,1,1,3,5,5,1,67,2,1
4101131,1,2,2,2,2,1,2,2,2,3,3,2,1,1,3,1,1,1,1,1,3,3,5,5,2,30,2,1
4101133,2,2,2,1,1,1,4,3,3,3,2,2,1,1,1,3,3,1,1,1,3,3,5,5,1,37,5,3
4101134,2,2,2,2,3,1,3,5,2,3,3,4,1,1,1,4,3,3,2,3,2,3,3,3,2,29,5,2
4101135,1,2,2,2,1,1,4,2,1,1,1,1,1,1,1,1,1,1,1,1,3,1,4,4,1,49,5,1
4101141,1,2,2,1,1,1,2,2,1,1,2,2,1,2,1,2,2,2,1,1,3,4,4,2,2,42,5,2
4101143,3,2,2,1,3,1,2,1,2,2,2,4,1,2,1,1,3,3,2,1,3,3,5,5,1,73,4,2
4102013,1,1,3,2,2,2,4,3,2,3,3,2,2,3,2,3,4,3,2,3,3,4,5,4,1,22,7,3
4102033,1,2,2,1,1,1,5,1,1,3,1,1,1,1,1,4,3,4,1,1,1,1,5,5,2,50,7,1
4102051,5,2,2,2,4,4,4,4,4,4,4,4,3,3,3,3,3,3,2,4,4,5,5,5,2,61,7,2
4102052,2,2,2,1,2,1,3,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,4,4,2,55,5,1
4102053,2,2,2,1,2,1,5,1,2,1,1,2,1,1,1,4,3,4,2,1,1,2,5,5,2,70,2,1
4102055,1,2,2,1,1,1,4,1,1,1,1,2,1,1,1,4,4,4,2,1,2,3,5,5,2,41,5,2
4102065,1,2,2,1,1,1,4,1,1,1,1,1,1,1,1,4,4,4,1,1,1,3,5,5,1,34,7,1
4102073,2,2,2,1,1,1,4,3,2,1,3,1,4,1,1,4,4,4,2,2,3,5,5,5,2,72,3,1
4102081,3,2,2,1,1,1,4,2,3,1,3,3,1,1,2,3,2,3,2,1,1,1,4,5,2,61,1,1
4102082,1,2,2,1,2,1,5,2,1,1,1,4,2,1,1,1,1,1,2,1,1,1,4,4,1,39,3,3
4102083,3,2,2,1,2,1,3,2,1,1,1,3,1,2,2,2,2,2,2,1,3,5,4,4,2,67,6,2
4102091,3,2,2,1,1,1,3,3,2,1,1,1,2,2,2,4,4,2,1,3,3,3,4,3,1,22,8,3
4102102,1,2,2,1,2,1,4,3,3,3,3,1,1,1,1,1,3,3,1,1,1,3,5,5,1,33,7,4
4102103,1,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,5,4,4,5,1,36,5,3
4102112,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,5,5,1,46,2,1
4102121,2,2,2,2,5,4,4,3,3,3,3,4,2,5,5,5,4,4,2,5,5,5,5,2,1,50,10,4
4102122,1,2,2,3,1,1,4,4,1,1,1,1,1,1,1,4,4,3,2,3,1,4,1,5,2,37,9,4
4106011,2,2,3,1,3,1,2,1,1,1,1,3,1,1,1,1,1,1,2,3,3,4,4,4,2,63,4,1
4106014,1,2,2,1,1,1,2,2,2,3,1,1,1,1,3,2,3,1,2,1,3,2,3,2,1,52,5,3
4106022,1,1,1,2,3,1,4,1,2,1,1,3,1,1,1,3,4,4,1,2,2,3,5,2,2,65,8,3
4106023,3,2,2,1,3,2,5,5,3,2,3,3,3,3,3,5,3,1,1,3,3,4,3,4,2,31,7,3
4106025,3,2,2,1,3,2,4,4,2,3,3,4,2,3,3,4,4,2,2,3,4,3,5,5,2,48,7,3
4106032,1,2,2,1,2,2,2,3,3,3,3,3,2,2,2,5,5,3,1,2,1,3,4,3,2,30,6,1
4106041,3,2,2,2,4,3,4,4,2,3,3,4,1,3,1,3,3,3,2,1,1,3,4,4,1,71,2,
