"idencuesta","c01","c02","c03","c04","c05_01","c05_02","c05_03","c05_04","c05_05","c05_06","c05_07","c05_08","c06_01","c06_02","c06_03","c06_04","c06_05","c06_06","c11","c13","c14_01","c14_02","d05_02","d05_04","m0_sexo","m0_edad","m01","m35"
8110084,2,2,2,3,3,2,3,2,3,2,3,3,3,2,3,3,4,2,1,1,2,2,4,4,1,33,8,3
8110091,3,2,1,1,3,1,4,1,1,1,3,3,1,1,1,3,3,3,2,1,2,2,4,4,2,69,2,1
8110092,1,2,2,1,1,1,4,1,1,2,1,3,1,1,1,4,4,4,2,1,2,3,4,4,2,44,5,1
8110093,1,2,2,2,1,1,4,1,1,1,1,1,1,1,1,3,3,3,2,1,3,3,4,4,1,60,4,1
8110094,1,1,2,1,3,1,4,1,3,3,1,3,1,1,1,4,4,4,2,1,3,3,5,4,2,37,5,1
8110095,1,2,2,1,3,3,4,3,3,3,3,3,1,1,1,5,4,4,2,1,1,1,4,5,2,67,3,1
8110102,1,2,2,1,2,1,3,1,2,2,1,1,1,1,1,4,,,2,2,3,3,3,5,1,35,9,2
8110104,1,2,2,1,1,1,3,1,1,1,1,1,1,1,1,3,3,,2,1,1,2,4,5,1,55,5,4
8110105,2,2,3,1,2,1,2,1,1,2,3,1,1,1,1,1,,,2,1,1,3,5,5,2,64,5,3
8110111,1,2,2,1,3,1,4,1,2,1,1,1,1,1,1,4,4,4,2,1,3,3,4,4,2,69,2,1
8110112,1,2,2,1,1,1,3,1,1,1,3,3,1,1,1,3,3,3,2,1,1,1,4,4,2,58,9,1
8110114,3,2,2,1,3,1,4,2,3,3,3,3,1,1,1,3,3,3,2,1,3,3,4,4,2,46,7,1
8110115,3,1,1,1,4,1,4,1,1,1,3,3,1,1,1,3,4,3,2,1,1,1,5,4,2,46,5,1
8110121,1,2,2,1,1,3,3,3,3,3,1,1,2,2,2,4,4,4,2,2,3,4,5,4,1,28,9,1
8110123,1,2,2,1,1,3,3,1,3,3,1,1,3,3,3,3,3,3,2,3,3,4,4,4,2,74,9,1
8110124,1,2,2,1,1,1,3,3,3,3,1,1,1,1,1,4,3,3,2,1,2,3,4,4,2,22,9,1
8110125,1,2,2,1,1,1,4,1,3,3,1,1,1,1,1,3,3,3,2,1,3,3,5,5,1,55,7,1
8110132,2,2,2,1,2,2,3,3,2,4,1,2,2,2,2,1,1,2,2,1,3,3,5,3,2,53,9,2
8110133,1,2,2,1,2,2,4,3,4,,3,2,2,2,2,4,4,4,2,3,3,3,5,4,2,36,7,1
8110135,1,2,2,1,1,1,4,1,1,3,1,1,1,1,1,1,3,3,2,1,1,1,4,4,1,46,5,1
8110141,2,2,2,1,2,2,2,,2,2,2,2,2,2,2,3,2,2,1,2,3,3,4,3,2,49,3,3
8110143,1,2,2,1,1,1,2,3,1,1,1,1,2,1,1,3,3,3,2,2,2,3,5,5,1,28,5,3
8110145,,2,2,2,2,1,5,1,2,1,1,1,1,1,1,1,1,1,2,1,2,1,4,4,2,72,1,1
8110151,2,3,2,3,1,1,4,2,1,2,1,1,2,2,1,3,3,3,1,3,3,5,5,4,1,52,9,1
8110152,1,3,3,3,1,1,3,3,1,1,1,1,1,1,1,,,,2,1,1,1,5,5,2,41,5,1
8110153,2,2,3,3,2,1,4,2,3,4,2,3,2,2,3,2,3,2,2,2,3,3,5,5,1,39,9,1
8110154,1,3,3,3,1,1,3,2,1,1,1,3,1,1,1,4,4,3,2,1,2,3,5,5,1,56,4,2
8110155,2,2,3,3,1,1,3,4,4,4,2,1,1,1,1,3,2,2,2,1,5,5,5,5,1,28,8,1
8111011,4,2,2,2,3,1,2,1,1,3,1,1,1,1,1,1,3,3,2,1,3,5,4,4,2,63,5,3
8111012,2,2,2,1,3,1,4,4,2,5,4,4,1,1,1,4,4,4,2,1,2,2,5,5,2,71,9,3
8111013,1,2,2,1,1,1,2,2,1,1,1,4,1,1,1,1,3,1,2,1,2,1,5,5,2,71,4,2
8111014,1,2,2,1,1,1,2,1,1,1,1,2,1,1,1,1,3,2,2,1,2,3,4,4,2,64,2,3
8111023,3,2,2,2,3,1,4,4,4,3,3,4,1,1,1,4,4,4,2,3,5,5,4,4,1,42,9,3
8111024,4,2,2,1,2,2,4,2,4,4,4,4,1,1,1,1,3,1,2,4,1,5,4,1,2,54,5,3
8111025,1,2,2,2,1,1,4,2,1,1,1,1,1,1,1,5,5,5,2,3,4,4,5,5,2,46,5,2
8111026,3,2,2,1,1,1,4,4,3,3,1,1,1,1,1,1,1,1,2,3,5,5,4,1,2,54,7,2
8111031,2,2,1,1,2,1,5,1,1,1,1,2,1,1,1,1,1,1,2,1,1,2,4,4,2,49,7,4
8111032,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,5,1,4,1,50,7,1
8111033,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,1,3,4,4,4,2,19,8,3
8111034,1,2,2,1,4,4,4,1,1,1,1,5,1,1,1,1,1,1,2,1,1,5,4,4,1,75,2,1
8111035,1,3,2,1,1,1,3,1,1,1,1,1,1,1,1,1,3,3,2,1,1,5,4,1,2,47,5,2
8111041,1,2,2,2,3,1,5,1,1,4,5,1,1,1,1,1,1,1,2,1,1,1,3,3,2,73,2,1
8111042,1,2,2,1,1,1,1,1,3,1,1,1,1,1,1,1,4,1,2,1,1,4,4,4,2,70,2,4
8111043,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,1,20,5,2
8111044,3,2,2,1,3,1,4,3,1,1,3,3,1,1,1,1,4,4,1,1,1,5,4,4,1,28,5,1
8111045,2,2,2,1,3,3,3,4,1,1,1,3,1,1,1,1,2,1,2,1,1,1,3,4,2,57,2,1
8111051,2,2,2,1,2,1,2,1,1,2,2,2,1,1,1,1,1,1,2,1,1,4,5,5,2,46,4,3
8111052,2,2,2,1,3,1,4,3,1,1,1,4,1,1,1,1,3,3,2,1,1,3,4,4,2,62,2,2
8111053,2,1,1,2,4,3,4,4,3,3,3,4,3,3,3,3,3,3,1,2,4,5,4,4,1,59,7,4
8111054,1,2,2,1,1,2,4,1,3,1,1,1,1,1,1,1,1,1,2,1,1,1,3,1,2,57,5,2
8111055,2,2,2,1,2,2,5,1,1,1,1,3,2,1,1,5,3,3,2,3,3,5,4,4,1,56,5,1
8112011,1,2,2,2,2,1,5,3,3,2,1,1,1,1,1,4,4,4,2,4,3,3,5,4,2,61,7,1
8112012,1,2,2,1,1,1,1,1,3,1,1,1,1,1,1,2,,,2,2,2,2,4,4,2,47,2,1
8112013,2,2,3,3,1,1,4,1,1,1,1,2,1,1,1,,,2,2,1,1,2,4,3,2,72,2,2
8112014,1,2,2,1,1,1,2,3,2,1,1,1,1,1,1,,,,1,1,1,1,5,5,2,66,3,1
8112015,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,,,,2,1,1,1,5,4,2,66,5,2
8112023,1,2,2,3,1,1,3,2,3,1,1,2,1,1,1,1,2,1,2,2,3,4,5,3,1,39,7,1
8112025,3,2,3,1,1,1,3,2,2,3,2,3,1,1,1,5,5,5,2,1,1,2,3,5,2,36,5,3
8112031,4,2,2,1,4,3,4,3,3,2,2,4,1,3,3,2,4,3,2,4,4,5,5,3,1,55,9,6
8112033,2,2,2,1,2,2,4,,2,2,1,4,1,2,2,1,,,2,2,1,5,5,1,1,70,5,2
8112034,1,2,2,1,1,1,3,1,1,1,1,1,1,1,1,4,5,3,2,1,3,4,5,3,2,51,8,1
8112035,3,2,1,2,1,1,5,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,5,5,1,41,7,1
8112042,1,2,2,1,2,1,4,1,2,1,1,2,,,,,3,,2,3,2,2,5,5,2,74,2,1
8112043,,2,1,2,1,1,4,1,1,1,1,1,1,1,1,,,,2,1,3,3,5,,2,65,3,1
8112044,1,2,2,1,2,2,2,3,1,3,1,2,,,,,,,2,1,2,1,4,5,2,75,4,1
8112045,1,3,2,1,2,1,2,,1,,2,1,1,1,1,3,3,,2,4,3,4,5,5,2,56,5,1
8112046,1,2,2,1,1,1,5,3,2,2,1,1,1,1,1,2,2,2,2,3,3,5,3,3,1,25,9,3
8112051,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,5,3,2,1,3,5,4,1,1,60,5,1
8112053,1,2,2,1,2,2,4,2,2,2,2,3,2,3,2,2,3,2,2,3,2,3,4,4,1,50,3,2
8112054,1,2,2,1,1,1,5,3,1,4,1,1,1,1,1,3,5,1,2,1,4,3,5,5,1,61,3,3
8112055,2,2,2,2,3,1,5,3,3,3,2,3,2,2,2,2,3,2,2,4,1,5,3,5,1,47,7,3
8112061,3,2,2,1,3,2,4,4,3,3,3,3,2,3,3,4,4,4,1,3,4,5,4,4,1,65,9,1
8112064,2,2,2,1,1,1,1,1,1,2,1,1,1,1,1,3,3,3,1,1,3,5,5,5,2,35,9,2
8112065,2,2,2,1,2,1,4,3,1,1,1,3,1,3,2,4,5,4,2,3,5,5,5,3,2,50,7,2
8112073,3,2,2,1,1,1,3,1,1,1,1,3,,,,,3,3,1,1,1,1,5,3,2,34,5,2
8112074,2,2,1,3,5,3,2,4,3,2,4,5,1,2,2,4,2,,2,2,3,5,5,1,2,55,5,2
8112075,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,3,5,1,2,1,1,3,5,5,2,61,1,1
8112081,1,2,1,2,1,1,3,2,1,2,1,2,1,1,1,3,5,4,1,1,2,2,5,4,1,38,8,3
8112082,2,1,3,3,2,2,4,4,2,2,2,1,2,2,2,4,5,4,2,4,4,4,5,4,1,42,7,2
8112083,1,2,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,1,3,4,4,4,2,67,3,1
8112084,1,3,2,1,2,1,4,3,1,3,1,1,1,1,1,4,2,,2,1,1,3,4,5,2,24,9,3
8112085,2,2,2,1,2,1,5,4,3,,1,3,1,1,1,3,3,3,2,1,3,3,4,5,2,75,2,3
8304011,3,2,2,1,1,1,3,,,3,,3,2,2,2,3,3,3,1,1,3,5,5,4,2,38,4,1
8304012,3,2,2,,2,2,5,,,2,,,,,,3,3,3,3,1,1,1,4,3,2,19,6,4
8304013,2,2,3,2,2,2,4,,,2,,2,1,1,1,2,2,2,2,2,1,4,5,3,2,46,5,
8304021,3,2,2,2,3,1,1,3,3,1,3,3,3,1,1,1,1,1,2,3,1,3,5,5,1,73,3,1
8304022,3,2,2,1,1,1,4,1,2,4,2,1,1,1,1,2,3,4,1,4,3,5,5,3,1,39,5,2
8304023,1,2,2,1,2,1,2,3,2,2,2,2,1,1,1,,4,1,2,1,4,5,5,5,1,36,5,1
8304032,4,2,2,3,3,3,4,2,2,2,2,3,1,1,1,2,5,5,2,1,3,4,5,4,1,78,2,1
8304033,4,1,3,3,2,2,3,2,1,2,1,2,2,2,2,1,2,2,2,1,1,5,4,4,1,73,4,1
8304041,4,3,2,3,5,3,5,3,3,3,3,4,1,5,1,1,1,1,2,3,2,5,5,4,1,73,2,
8304043,2,2,2,1,2,3,3,2,2,4,2,3,,,1,3,4,3,2,3,3,4,5,4,1,27,6,1
8304051,5,2,2,3,3,2,5,1,1,1,1,4,2,4,2,2,2,2,2,2,1,4,5,1,2,44,5,1
8304052,1,2,2,3,2,1,3,2,1,1,2,2,1,1,1,3,3,2,1,1,1,4,4,3,2,39,5,3
8304061,5,2,3,2,5,4,3,5,5,3,5,5,3,3,3,1,3,3,2,2,3,3,3,3,1,47,3,1
8304062,,2,3,3,3,1,3,2,2,2,2,2,1,1,1,1,4,1,2,1,1,3,1,5,2,52,2,1
8304063,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,4,4,2,1,1,3,2,3,2,2,23,4,1
8304071,4,3,3,3,3,1,5,2,1,2,2,4,3,3,3,4,4,4,2,1,3,4,4,4,1,71,9,3
8304073,2,2,2,3,1,1,5,2,2,2,2,1,2,2,2,4,4,1,2,1,1,4,5,3,2,69,2,1
8304081,1,2,2,1,1,1,1,4,1,4,1,1,1,1,1,4,4,1,2,1,4,4,4,4,2,51,4,1
8304082,2,2,2,2,2,3,2,4,4,,4,4,1,2,1,2,4,1,1,1,3,3,4,1,1,19,5,1
8304092,3,2,2,1,2,2,4,2,2,3,3,3,2,2,2,4,4,4,1,1,2,1,4,4,1,22,8,1
8305011,1,2,3,2,1,1,2,1,1,4,1,1,1,1,1,1,1,1,2,1,4,4,3,4,2,64,4,3
8305012,,2,3,3,3,2,4,2,2,2,2,1,2,2,2,,2,2,2,1,1,3,5,4,2,64,1,1
8305013,,2,3,3,3,1,4,3,3,2,2,3,1,1,1,1,4,3,2,1,1,5,4,4,2,61,3,1
8305022,2,2,3,2,1,1,5,2,4,2,2,1,1,1,1,4,4,4,2,1,3,4,4,5,1,71,4,4
8305023,3,2,2,1,1,1,1,2,2,2,2,2,2,2,2,3,3,2,2,3,1,4,2,4,2,38,5,1
8305031,1,2,1,2,1,1,4,4,1,1,1,1,1,1,1,4,4,4,2,2,4,4,4,5,1,42,5,3
8305032,1,2,2,3,1,1,1,4,1,3,1,2,1,1,1,4,4,,1,1,1,1,4,4,1,27,4,1
8305041,1,2,2,1,1,1,4,1,1,1,1,1,1,1,1,5,4,1,2,1,2,2,4,4,2,41,4,3
8305042,1,2,2,2,1,1,4,4,4,4,3,4,1,1,1,1,4,4,1,1,1,1,1,5,1,37,5,3
8305043,1,2,2,2,1,1,4,4,1,1,1,4,1,1,1,4,4,4,1,1,4,4,4,4,1,42,5,3
8305051,1,2,3,1,1,1,1,2,1,2,1,1,1,1,1,4,5,4,2,1,4,4,4,5,2,50,4,3
8305052,1,2,2,1,1,1,1,4,1,1,1,1,1,1,1,4,5,4,2,1,3,3,4,5,1,34,5,1
8305053,4,2,2,1,1,1,4,4,4,4,4,4,1,1,1,1,1,1,2,1,1,1,1,1,1,45,2,1
8305061,4,2,2,2,4,1,4,1,4,4,4,4,1,1,1,1,1,1,2,1,1,1,4,4,2,60,2,1
8305062,2,2,2,1,2,2,4,4,4,2,1,2,1,1,1,5,4,4,2,2,4,3,4,4,2,33,5,3
8305063,1,2,2,3,1,1,3,2,1,1,2,1,1,1,1,5,5,4,2,1,4,4,3,4,1,28,4,1
8305071,1,2,1,3,1,1,1,1,1,1,1,1,1,1,1,5,5,2,1,2,3,3,4,4,1,30,3,2
8305081,5,3,3,2,3,3,4,3,1,2,3,3,1,1,1,3,3,3,2,2,1,1,4,4,1,73,2,1
8305083,1,2,2,2,1,1,5,4,4,1,1,1,1,1,1,5,1,1,1,1,1,1,4,4,2,22,2,1
8305092,2,3,3,3,1,1,5,1,1,5,1,1,2,1,1,3,1,1,2,4,5,5,3,5,1,74,2,3
8305101,,2,3,1,2,1,1,1,3,3,,2,1,1,1,4,4,4,1,2,4,4,4,4,2,34,5,6
8305102,2,2,2,1,3,1,3,1,1,,1,2,1,1,1,1,1,1,2,1,3,5,5,4,2,60,3,1
8305103,1,2,2,1,2,1,5,4,1,,1,2,1,1,1,3,5,1,2,1,5,5,4,2,2,59,4,
8305111,1,2,1,3,2,1,4,4,1,1,1,2,1,1,1,4,4,2,1,2,2,2,4,5,2,23,5,2
8305112,1,2,1,3,1,1,4,2,1,,1,1,1,2,1,5,5,4,2,1,1,2,1,5,2,57,7,3
8305113,2,2,1,1,2,1,3,4,2,1,1,2,1,1,1,5,5,1,2,1,3,3,2,4,1,53,3,2
8310012,3,2,1,2,4,4,4,4,4,4,4,4,,,,5,5,5,2,1,4,4,4,5,2,58,4,1
8310013,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,5,4,4,2,1,4,4,4,4,2,30,9,3
8310021,4,2,2,1,4,,3,3,3,,4,4,1,1,1,,,,2,1,2,2,4,3,1,75,1,1
8310022,1,2,1,1,1,1,3,2,1,4,1,1,1,1,1,4,3,4,2,1,4,4,4,4,1,67,2,1
8310023,1,2,2,1,1,1,3,1,3,1,1,1,1,1,1,5,5,5,2,1,4,4,4,5,2,61,9,5
8404013,1,2,2,1,3,3,4,3,3,3,4,3,1,1,1,1,3,3,2,2,2,3,4,4,2,20,8,3
8404015,1,2,1,3,1,1,3,1,4,1,3,3,1,1,1,1,1,3,2,1,1,1,4,4,2,74,5,2
8404021,1,2,3,3,3,1,4,1,1,1,1,3,1,1,1,1,1,1,2,1,1,1,1,4,2,58,2,3
8404022,1,2,2,1,1,1,3,4,1,3,1,1,1,1,1,1,3,1,2,1,3,4,5,4,1,22,8,2
8404023,1,2,2,1,1,1,4,1,1,5,1,1,1,1,1,1,3,1,2,3,3,5,4,4,1,58,3,2
8404033,4,3,2,1,1,1,4,4,1,4,4,1,1,1,1,1,5,1,2,1,1,5,4,1,2,68,7,2
8404041,1,2,2,1,3,3,4,3,2,2,3,3,1,1,1,1,1,1,1,1,1,4,4,3,1,23,7,3
8404042,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,5,4,4,1,32,4,2
8404043,1,2,2,1,1,2,2,4,1,1,3,1,1,1,1,1,1,1,2,1,1,3,5,4,2,37,5,2
8404051,4,2,2,2,3,1,1,1,1,1,1,2,1,1,1,2,3,3,2,1,1,1,4,1,2,70,2,1
8404052,1,2,2,1,2,1,1,1,1,3,3,4,1,1,1,1,1,1,1,1,3,5,4,4,1,29,3,2
8404053,3,2,2,1,2,2,2,2,2,2,2,2,1,1,1,1,2,1,2,1,1,4,1,4,2,70,4,2
8404062,1,2,2,2,1,1,5,3,3,2,3,3,1,1,1,4,3,3,2,1,2,5,5,3,2,48,5,3
8404063,2,2,2,2,1,1,4,1,1,1,1,1,1,1,1,3,2,2,2,1,3,3,4,5,1,36,4,2
8404071,1,2,2,2,1,1,3,1,1,1,1,3,1,1,1,1,2,2,2,1,1,1,5,1,2,38,5,1
8404072,1,2,2,2,1,1,4,1,1,1,1,3,1,1,1,1,3,3,2,1,1,1,4,5,2,51,5,2
8404073,1,2,2,2,1,1,2,1,1,1,1,2,1,1,1,3,1,1,2,2,5,5,5,5,2,69,5,2
8404081,1,2,2,3,1,1,4,1,1,1,1,4,1,1,3,4,4,4,2,2,3,3,5,1,2,33,9,2
8404082,1,2,2,2,1,1,5,3,1,1,1,1,1,1,1,5,5,5,2,1,3,3,4,4,1,53,5,2
8404091,2,2,2,2,2,1,3,1,1,1,1,1,1,1,1,3,4,4,2,1,2,3,5,1,2,60,5,2
8404092,1,2,2,2,1,1,4,1,1,1,1,1,1,1,1,3,4,5,2,3,3,3,4,4,2,58,3,1
8404101,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,3,3,1,2,1,1,1,5,5,2,61,2,1
8404103,1,2,2,2,1,2,1,1,2,1,3,3,1,1,1,1,4,4,2,2,3,3,4,4,2,42,4,1
8413011,,2,2,1,4,1,3,1,1,1,1,3,1,1,1,2,1,1,2,1,1,3,5,3,2,73,2,1
8413012,2,3,2,1,1,1,4,1,3,3,3,3,1,1,1,1,1,1,2,1,1,5,4,4,1,58,3,1
8413013,2,2,2,,3,3,2,2,2,3,2,3,2,2,2,2,2,2,1,1,1,4,4,4,1,24,6,1
8413021,2,2,2,1,2,1,3,3,3,3,2,3,1,1,1,3,,,1,3,3,3,4,4,2,49,5,2
8413035,4,2,2,1,3,1,4,1,1,1,1,4,1,1,1,1,1,4,1,1,1,3,1,1,2,24,4,2
8413041,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,3,2,1,1,1,5,4,4,1,49,6,1
8413043,1,2,2,1,4,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,4,4,2,45,2,1
8413051,2,2,1,1,3,1,3,1,3,3,3,3,3,3,3,1,3,1,2,1,2,2,5,5,1,43,4,1
8413063,4,1,1,1,4,1,4,2,4,4,3,4,1,1,1,1,4,4,2,4,5,5,4,4,2,48,5,2
8413064,1,2,2,1,3,1,3,3,3,1,1,3,1,1,1,1,1,1,2,1,1,2,4,4,1,60,2,1
8413071,3,2,2,2,3,1,3,1,1,1,1,1,1,1,1,4,,,1,1,1,1,4,4,2,52,5,2
8413072,2,2,2,3,3,2,5,3,3,3,3,3,,,,3,3,3,2,3,3,3,4,5,2,31,5,2
8413075,4,3,2,1,1,1,3,4,1,4,1,1,1,1,1,1,,3,2,1,1,5,4,4,2,39,5,3
8413081,2,2,2,2,2,2,4,3,4,3,2,2,3,3,1,4,4,4,2,2,3,4,5,4,2,50,5,3
8413082,1,2,2,1,2,1,3,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,5,5,1,25,9,6
8413083,3,2,2,1,2,1,4,3,2,3,3,3,1,1,1,3,3,3,2,1,1,1,5,3,2,46,5,2
8413091,3,3,2,1,3,3,3,1,3,3,3,3,1,1,1,4,4,4,1,1,1,3,4,4,2,24,4,2
8413092,3,2,2,1,4,1,4,4,2,1,1,4,1,1,2,1,1,2,2,1,1,5,4,4,2,28,3,2
8413093,4,2,2,1,4,1,4,1,1,1,1,3,1,1,1,1,1,1,2,1,2,3,4,4,2,56,3,1
8413111,1,2,2,1,1,1,4,4,3,3,1,1,1,1,1,1,1,3,1,1,5,5,1,1,1,50,7,1
8413113,1,2,2,1,1,1,4,3,1,1,1,4,1,1,2,1,1,1,1,1,5,5,4,4,2,41,5,2
9101011,1,2,2,3,1,1,4,1,1,1,1,1,1,1,1,4,2,3,2,1,3,3,4,4,2,50,7,3
9101012,1,2,2,1,1,1,1,1,1,3,3,1,3,2,2,1,2,3,2,1,3,3,5,4,2,73,5,2
9101013,2,2,2,1,2,1,4,3,2,3,2,3,1,1,1,3,3,,2,3,1,4,4,4,2,70,9,3
9101023,1,2,2,3,1,1,1,1,1,1,1,2,1,2,1,1,4,4,2,2,2,3,4,4,2,48,9,3
9101031,4,2,2,3,3,2,2,1,2,1,2,1,1,1,1,2,1,1,2,3,5,1,1,3,1,35,5,1
9101032,4,3,3,3,1,1,3,1,4,1,1,1,1,1,1,1,1,1,2,3,5,3,3,3,1,25,5,2
9101033,3,2,2,2,3,3,3,4,3,3,4,4,3,3,4,4,5,4,2,3,3,2,3,4,1,69,3,1
9101041,3,3,2,3,5,3,5,5,,3,4,4,5,1,1,1,1,1,2,1,4,2,3,4,1,23,5,3
9101043,3,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,2,3,2,57,2,2
9101051,3,2,3,3,1,1,1,2,2,2,3,3,2,4,1,2,2,2,2,1,1,1,2,4,1,54,4,2
9101053,4,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,4,1,3,3,2,65,4,2
9101062,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,3,2,48,4,2
9101063,3,3,3,3,3,3,3,2,3,3,3,3,4,4,3,4,4,4,2,4,5,2,3,5,1,73,3,1
9101071,2,2,1,1,1,1,3,1,1,1,1,2,1,1,1,3,3,,1,2,2,5,4,4,2,33,5,2
9101073,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,,4,,1,1,1,2,4,3,2,29,6,2
9101092,1,2,2,1,1,1,4,3,1,1,1,1,1,1,1,1,1,1,2,1,1,1,5,5,2,48,5,1
9101093,1,2,2,1,2,2,3,3,3,2,3,3,3,3,1,1,1,1,2,1,1,1,5,5,2,42,5,2
9101101,2,2,1,1,1,1,3,1,1,1,1,2,1,1,1,1,1,2,2,1,2,1,5,5,2,64,7,1
9101102,2,1,2,1,1,1,3,1,3,3,1,1,1,1,1,1,4,4,2,1,4,3,5,5,1,48,5,1
9101103,1,2,2,1,1,1,3,2,1,1,1,1,1,1,1,1,1,,2,1,3,3,3,1,2,62,9,3
9101111,1,2,2,1,1,1,3,1,1,1,1,3,1,1,1,1,4,1,2,1,3,3,4,1,2,56,3,1
9101112,1,2,2,2,2,1,4,1,5,1,1,3,1,2,1,1,2,1,2,3,2,2,4,4,2,43,2,1
9101113,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,5,1,2,50,5,1
9101122,3,3,3,2,2,2,4,4,3,3,2,2,2,2,2,3,3,3,2,3,4,5,4,4,1,23,9,3
9101131,1,2,2,2,1,1,2,1,1,2,1,1,1,1,1,3,2,4,2,3,3,3,3,3,1,25,9,2
9101132,5,2,2,1,3,2,4,4,3,2,2,4,1,2,3,3,4,3,2,4,4,5,5,1,2,69,5,2
9101141,4,2,2,2,3,2,3,3,4,3,1,1,1,1,2,1,1,1,2,2,3,3,2,4,2,48,5,3
9101142,1,1,1,1,1,1,4,1,1,1,1,1,2,1,1,1,1,5,2,1,1,1,2,3,2,50,5,3
9101143,1,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,4,2,51,5,3
9101151,1,3,2,3,2,1,4,1,1,1,1,2,1,2,1,5,5,5,2,1,1,4,5,5,2,69,3,1
9101152,1,2,1,2,1,1,3,4,3,1,1,3,1,1,1,2,4,3,2,1,1,1,5,5,2,29,7,2
9101153,2,2,2,1,2,1,5,1,2,5,2,2,1,1,2,1,5,5,1,1,1,3,4,3,2,35,6,3
9101161,2,2,3,3,2,2,3,1,1,1,1,2,1,1,1,1,2,2,2,1,1,1,4,2,2,57,2,1
9101162,1,2,1,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,2,1,1,1,3,1,1,58,4,
9101163,4,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,2,31,5,2
9101171,3,2,2,2,3,3,3,4,3,3,3,3,4,1,1,1,1,1,2,2,2,2,3,4,2,52,5,2
9101172,3,2,2,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,2,3,4,1,31,7,2
9101173,1,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,2,2,5,1,22,8,2
9101181,3,2,2,2,1,2,1,1,2,1,1,1,2,3,3,3,4,4,2,1,1,2,1,1,1,57,9,3
9101182,3,,2,,2,3,3,3,3,3,4,3,1,2,3,3,3,2,2,1,2,2,3,4,1,62,5,3
9101183,5,1,2,2,5,4,4,4,4,4,4,5,3,3,3,3,3,3,2,4,5,3,2,5,1,68,5,3
9101191,1,2,2,2,1,3,1,2,2,2,3,2,1,1,1,1,1,1,2,2,5,1,2,4,1,48,9,6
9101192,4,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,3,3,1,45,9,4
9101193,3,3,2,2,1,3,4,4,2,3,4,,4,2,3,4,4,4,2,1,3,1,3,3,2,46,9,3
9101202,4,2,2,2,1,1,1,1,2,3,3,3,3,2,3,3,1,1,2,1,5,3,3,4,1,61,8,3
9101211,4,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,5,2,74,5,2
9101212,3,1,2,2,1,1,1,1,1,1,1,1,3,2,3,3,3,3,2,1,3,2,3,4,2,36,9,2
9101213,3,3,3,2,1,1,4,3,3,2,2,2,1,1,1,1,1,1,2,2,3,2,1,4,1,27,9,2
9101221,3,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,3,4,1,26,4,1
9101222,3,1,3,2,1,1,1,1,1,1,1,1,3,3,3,4,4,4,2,1,1,1,3,4,2,22,7,1
9101223,3,1,1,1,1,1,1,1,2,1,1,1,2,2,2,3,3,2,1,1,1,1,3,4,2,22,4,1
9102011,3,2,2,1,3,1,3,3,1,1,1,2,1,1,1,5,4,1,2,2,3,5,5,2,2,67,9,6
9102012,1,2,2,1,1,1,5,2,2,1,1,2,2,1,1,1,2,1,2,1,1,2,5,5,2,48,3,1
9102013,2,2,2,1,2,2,3,1,2,3,2,2,1,1,1,1,3,1,2,1,1,1,5,4,2,71,2,2
9102023,2,3,3,3,2,2,2,1,1,2,2,2,,,,3,3,3,1,3,2,2,4,3,1,30,8,3
